nohup: ignoring input
Model Params: 63.91M
Trainable Params: 63.912M
Model Params: 63.91M
Trainable Params: 63.912M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 90.89it/s]
Loaded reward model from ../internlm2-1_8b-reward
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](590/39988), Reward:-1.0669, KL:0.0018, GrpStd:0.1431, AdvStd:1.4132, Loss:0.0978, AvgLen:41.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](600/39988), Reward:-0.6470, KL:0.0032, GrpStd:0.1021, AdvStd:1.4128, Loss:-0.0950, AvgLen:60.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](610/39988), Reward:-0.2222, KL:-0.0001, GrpStd:0.0513, AdvStd:1.4115, Loss:-0.0602, AvgLen:64.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](620/39988), Reward:-1.2061, KL:-0.0196, GrpStd:0.0073, AdvStd:1.3952, Loss:-0.0216, AvgLen:34.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](630/39988), Reward:-2.4275, KL:0.0042, GrpStd:0.2096, AdvStd:1.4135, Loss:-0.1603, AvgLen:190.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](640/39988), Reward:-1.3909, KL:-0.0370, GrpStd:0.1466, AdvStd:1.4132, Loss:0.1413, AvgLen:62.50, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](650/39988), Reward:0.4947, KL:0.0012, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0000, AvgLen:51.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](660/39988), Reward:-0.9931, KL:-0.0160, GrpStd:0.5226, AdvStd:1.4139, Loss:0.0132, AvgLen:46.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](670/39988), Reward:-0.4925, KL:-0.0176, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0009, AvgLen:76.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](680/39988), Reward:-0.9873, KL:-0.0028, GrpStd:0.4736, AdvStd:1.4139, Loss:0.0855, AvgLen:41.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](690/39988), Reward:-1.7538, KL:0.0021, GrpStd:0.1894, AdvStd:1.4135, Loss:0.0269, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](700/39988), Reward:0.1295, KL:-0.0017, GrpStd:0.4723, AdvStd:1.4139, Loss:0.1439, AvgLen:48.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](710/39988), Reward:-1.0684, KL:0.0017, GrpStd:0.2939, AdvStd:1.4137, Loss:0.0469, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](720/39988), Reward:-2.5295, KL:0.0012, GrpStd:0.4705, AdvStd:1.4139, Loss:0.3499, AvgLen:165.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](730/39988), Reward:-2.3352, KL:0.0030, GrpStd:0.1425, AdvStd:1.4132, Loss:-0.0248, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](740/39988), Reward:-2.2155, KL:0.0044, GrpStd:0.0794, AdvStd:1.4124, Loss:-0.1976, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](750/39988), Reward:-0.8017, KL:-0.0046, GrpStd:0.1371, AdvStd:1.4132, Loss:0.0608, AvgLen:44.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](760/39988), Reward:0.2514, KL:-0.0069, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0001, AvgLen:51.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](770/39988), Reward:-0.0212, KL:-0.0911, GrpStd:0.2186, AdvStd:1.4136, Loss:-0.0068, AvgLen:40.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](780/39988), Reward:-1.0752, KL:0.0065, GrpStd:0.2842, AdvStd:1.4137, Loss:0.3512, AvgLen:20.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](790/39988), Reward:-1.5907, KL:0.0044, GrpStd:0.1884, AdvStd:1.4135, Loss:-0.3842, AvgLen:173.00, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](800/39988), Reward:-1.9469, KL:-0.0378, GrpStd:0.4054, AdvStd:1.4139, Loss:-0.2201, AvgLen:67.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](810/39988), Reward:-0.7889, KL:-0.0267, GrpStd:0.0396, AdvStd:1.4106, Loss:-0.0099, AvgLen:51.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](820/39988), Reward:0.1893, KL:0.0012, GrpStd:0.0474, AdvStd:1.4112, Loss:-0.1123, AvgLen:240.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](830/39988), Reward:-1.6222, KL:-0.0397, GrpStd:0.0887, AdvStd:1.4126, Loss:-0.0219, AvgLen:47.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](840/39988), Reward:0.0355, KL:-0.0065, GrpStd:0.4550, AdvStd:1.4139, Loss:0.0005, AvgLen:40.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](850/39988), Reward:-0.7456, KL:0.0026, GrpStd:0.0942, AdvStd:1.4127, Loss:-0.0389, AvgLen:79.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](860/39988), Reward:0.1880, KL:-0.0057, GrpStd:0.0957, AdvStd:1.4127, Loss:-0.0285, AvgLen:48.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](870/39988), Reward:-2.2262, KL:-0.0018, GrpStd:0.7262, AdvStd:1.4140, Loss:0.3232, AvgLen:131.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](880/39988), Reward:-0.9604, KL:-0.0702, GrpStd:0.0806, AdvStd:1.4125, Loss:-0.3472, AvgLen:8.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](890/39988), Reward:-1.5728, KL:-0.0011, GrpStd:0.1636, AdvStd:1.4133, Loss:-0.0057, AvgLen:79.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](900/39988), Reward:0.9464, KL:-0.0201, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0006, AvgLen:37.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](910/39988), Reward:-1.2942, KL:0.0013, GrpStd:0.4635, AdvStd:1.4139, Loss:0.1030, AvgLen:183.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](920/39988), Reward:-1.3715, KL:-0.0008, GrpStd:0.1582, AdvStd:1.4133, Loss:0.3126, AvgLen:112.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](930/39988), Reward:-2.0019, KL:0.0017, GrpStd:0.2760, AdvStd:1.4137, Loss:0.0508, AvgLen:256.00, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](940/39988), Reward:1.2860, KL:-0.0207, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0008, AvgLen:37.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](950/39988), Reward:1.0637, KL:-0.0006, GrpStd:0.2854, AdvStd:1.4137, Loss:0.1820, AvgLen:69.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](960/39988), Reward:-0.2952, KL:-0.0104, GrpStd:0.2400, AdvStd:1.4136, Loss:-0.0228, AvgLen:8.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](970/39988), Reward:-0.8350, KL:0.0021, GrpStd:0.1279, AdvStd:1.4131, Loss:-0.1150, AvgLen:44.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](980/39988), Reward:1.4047, KL:-0.0169, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0004, AvgLen:37.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](990/39988), Reward:-1.6429, KL:-0.0043, GrpStd:0.4866, AdvStd:1.4139, Loss:-0.2117, AvgLen:105.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1000/39988), Reward:-1.2449, KL:-0.0044, GrpStd:0.1408, AdvStd:1.4132, Loss:0.0212, AvgLen:97.50, AdvMean:-0.0000, LR:0.00000030
[Checkpoint] Saved step 1000 (epoch 1), metrics={}
Epoch:[1/1](1010/39988), Reward:-1.4438, KL:0.0011, GrpStd:0.0122, AdvStd:1.4027, Loss:-0.2516, AvgLen:52.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1020/39988), Reward:-2.4593, KL:0.0085, GrpStd:0.0958, AdvStd:1.4127, Loss:0.0684, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1030/39988), Reward:-0.5377, KL:-0.0161, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0084, AvgLen:33.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1040/39988), Reward:-1.9766, KL:0.0066, GrpStd:0.8613, AdvStd:1.4140, Loss:0.0348, AvgLen:86.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1050/39988), Reward:-0.4128, KL:-0.0002, GrpStd:0.0398, AdvStd:1.4107, Loss:0.1291, AvgLen:67.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1060/39988), Reward:-1.3499, KL:0.0036, GrpStd:1.0603, AdvStd:1.4141, Loss:0.2211, AvgLen:149.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1070/39988), Reward:-1.7674, KL:-0.0510, GrpStd:0.1011, AdvStd:1.4128, Loss:-0.0514, AvgLen:46.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1080/39988), Reward:0.5826, KL:-0.0060, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0001, AvgLen:38.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1090/39988), Reward:-0.1019, KL:-0.0317, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0012, AvgLen:51.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1100/39988), Reward:-1.1592, KL:-0.0010, GrpStd:0.2129, AdvStd:1.4135, Loss:-0.3555, AvgLen:29.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1110/39988), Reward:-1.4316, KL:-0.0023, GrpStd:0.0761, AdvStd:1.4124, Loss:-0.0235, AvgLen:157.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1120/39988), Reward:-0.1992, KL:-0.0034, GrpStd:0.1055, AdvStd:1.4129, Loss:0.0366, AvgLen:34.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1130/39988), Reward:-0.0674, KL:-0.0116, GrpStd:0.0620, AdvStd:1.4119, Loss:-0.0488, AvgLen:39.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1140/39988), Reward:0.3295, KL:-0.0105, GrpStd:0.1073, AdvStd:1.4129, Loss:-0.0896, AvgLen:78.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1150/39988), Reward:-1.7157, KL:0.0082, GrpStd:0.5331, AdvStd:1.4139, Loss:-0.0287, AvgLen:106.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1160/39988), Reward:-1.8733, KL:0.0008, GrpStd:0.2263, AdvStd:1.4136, Loss:-0.1197, AvgLen:76.50, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](1170/39988), Reward:-0.7938, KL:0.0027, GrpStd:0.4153, AdvStd:1.4139, Loss:0.2084, AvgLen:82.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1180/39988), Reward:0.3264, KL:-0.0158, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0002, AvgLen:43.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1190/39988), Reward:-1.1094, KL:-0.0187, GrpStd:0.0928, AdvStd:1.4127, Loss:-0.0213, AvgLen:56.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1200/39988), Reward:-1.9096, KL:-0.0051, GrpStd:0.5659, AdvStd:1.4140, Loss:-0.2360, AvgLen:73.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1210/39988), Reward:-0.6170, KL:-0.0116, GrpStd:0.1209, AdvStd:1.4130, Loss:0.2378, AvgLen:66.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1220/39988), Reward:0.8038, KL:-0.0091, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0001, AvgLen:37.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1230/39988), Reward:-2.1926, KL:0.0013, GrpStd:0.3995, AdvStd:1.4139, Loss:0.2302, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1240/39988), Reward:-1.7845, KL:0.0037, GrpStd:0.2559, AdvStd:1.4137, Loss:-0.0081, AvgLen:256.00, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](1250/39988), Reward:-0.6310, KL:0.0045, GrpStd:0.2080, AdvStd:1.4135, Loss:-0.0171, AvgLen:49.50, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](1260/39988), Reward:-0.8110, KL:-0.0038, GrpStd:0.0229, AdvStd:1.4081, Loss:0.5132, AvgLen:27.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1270/39988), Reward:-1.1937, KL:-0.0040, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0066, AvgLen:46.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1280/39988), Reward:-1.6724, KL:0.0054, GrpStd:0.2974, AdvStd:1.4137, Loss:-0.1935, AvgLen:57.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1290/39988), Reward:0.8587, KL:-0.0030, GrpStd:0.2502, AdvStd:1.4136, Loss:-0.0474, AvgLen:31.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1300/39988), Reward:-2.0449, KL:0.0108, GrpStd:0.0176, AdvStd:1.4062, Loss:-0.0138, AvgLen:29.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1310/39988), Reward:-1.5733, KL:0.0033, GrpStd:0.2793, AdvStd:1.4137, Loss:0.3622, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1320/39988), Reward:-1.6441, KL:0.0023, GrpStd:0.4701, AdvStd:1.4139, Loss:-0.0481, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1330/39988), Reward:-0.6296, KL:-0.0197, GrpStd:0.2991, AdvStd:1.4137, Loss:-0.0312, AvgLen:14.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1340/39988), Reward:-0.2485, KL:-0.0111, GrpStd:0.1895, AdvStd:1.4135, Loss:-0.2378, AvgLen:50.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1350/39988), Reward:-2.8663, KL:0.0061, GrpStd:0.0960, AdvStd:1.4127, Loss:0.1056, AvgLen:207.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1360/39988), Reward:-0.2399, KL:0.0042, GrpStd:0.4418, AdvStd:1.4139, Loss:-0.1172, AvgLen:31.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1370/39988), Reward:-1.8867, KL:0.0021, GrpStd:0.3262, AdvStd:1.4138, Loss:-0.0211, AvgLen:54.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](1380/39988), Reward:-0.3296, KL:-0.0130, GrpStd:1.1139, AdvStd:1.4141, Loss:0.0234, AvgLen:41.00, AdvMean:0.0000, LR:0.00000030
