nohup: ignoring input
[Scorer] 模型加载完成: 63.9M params, device=cuda:0
/root/trainer/../scripts/data_quality_scorer.py:171: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=self.dtype):
[Score] 435200/1270238 (34.3%) speed=628 samples/s, ETA=1330s
[Score] 436800/1270238 (34.4%) speed=629 samples/s, ETA=1326s
[Score] 438400/1270238 (34.5%) speed=629 samples/s, ETA=1322s
[Score] 440000/1270238 (34.6%) speed=630 samples/s, ETA=1318s
[Score] 441600/1270238 (34.8%) speed=630 samples/s, ETA=1315s
[Score] 443200/1270238 (34.9%) speed=631 samples/s, ETA=1311s
[Score] 444800/1270238 (35.0%) speed=631 samples/s, ETA=1307s
[Score] 446400/1270238 (35.1%) speed=632 samples/s, ETA=1303s
[Score] 448000/1270238 (35.3%) speed=633 samples/s, ETA=1300s
[Score] 449600/1270238 (35.4%) speed=633 samples/s, ETA=1296s
[Score] 451200/1270238 (35.5%) speed=632 samples/s, ETA=1296s
[Score] 452800/1270238 (35.6%) speed=631 samples/s, ETA=1296s
[Score] 454400/1270238 (35.8%) speed=631 samples/s, ETA=1293s
[Score] 456000/1270238 (35.9%) speed=632 samples/s, ETA=1289s
[Score] 457600/1270238 (36.0%) speed=633 samples/s, ETA=1285s
[Score] 459200/1270238 (36.2%) speed=633 samples/s, ETA=1281s
[Score] 460800/1270238 (36.3%) speed=634 samples/s, ETA=1277s
[Score] 462400/1270238 (36.4%) speed=634 samples/s, ETA=1273s
[Score] 464000/1270238 (36.5%) speed=635 samples/s, ETA=1270s
[Score] 465600/1270238 (36.7%) speed=636 samples/s, ETA=1266s
[Score] 467200/1270238 (36.8%) speed=636 samples/s, ETA=1262s
[Score] 468800/1270238 (36.9%) speed=637 samples/s, ETA=1258s
[Score] 470400/1270238 (37.0%) speed=638 samples/s, ETA=1255s
[Score] 472000/1270238 (37.2%) speed=638 samples/s, ETA=1251s
[Score] 473600/1270238 (37.3%) speed=638 samples/s, ETA=1249s
[Score] 475200/1270238 (37.4%) speed=636 samples/s, ETA=1249s
[Score] 476800/1270238 (37.5%) speed=634 samples/s, ETA=1251s
[Score] 478400/1270238 (37.7%) speed=633 samples/s, ETA=1250s
[Score] 480000/1270238 (37.8%) speed=633 samples/s, ETA=1249s
[Score] 481600/1270238 (37.9%) speed=632 samples/s, ETA=1248s
[Score] 483200/1270238 (38.0%) speed=631 samples/s, ETA=1248s
[Score] 484800/1270238 (38.2%) speed=629 samples/s, ETA=1248s
[Score] 486400/1270238 (38.3%) speed=627 samples/s, ETA=1249s
[Score] 488000/1270238 (38.4%) speed=626 samples/s, ETA=1250s
[Score] 489600/1270238 (38.5%) speed=624 samples/s, ETA=1251s
[Score] 491200/1270238 (38.7%) speed=623 samples/s, ETA=1251s
[Score] 492800/1270238 (38.8%) speed=621 samples/s, ETA=1252s
[Score] 494400/1270238 (38.9%) speed=619 samples/s, ETA=1252s
[Score] 496000/1270238 (39.0%) speed=618 samples/s, ETA=1253s
[Score] 497600/1270238 (39.2%) speed=616 samples/s, ETA=1253s
[Score] 499200/1270238 (39.3%) speed=615 samples/s, ETA=1254s
[Score] 500800/1270238 (39.4%) speed=613 samples/s, ETA=1255s
[Score] 502400/1270238 (39.6%) speed=612 samples/s, ETA=1255s
[Score] 504000/1270238 (39.7%) speed=610 samples/s, ETA=1256s
[Score] 505600/1270238 (39.8%) speed=609 samples/s, ETA=1256s
[Score] 507200/1270238 (39.9%) speed=607 samples/s, ETA=1256s
[Score] 508800/1270238 (40.1%) speed=606 samples/s, ETA=1257s
[Score] 510400/1270238 (40.2%) speed=605 samples/s, ETA=1257s
[Score] 512000/1270238 (40.3%) speed=603 samples/s, ETA=1257s
[Score] 513600/1270238 (40.4%) speed=602 samples/s, ETA=1257s
[Score] 515200/1270238 (40.6%) speed=600 samples/s, ETA=1258s
[Score] 516800/1270238 (40.7%) speed=599 samples/s, ETA=1258s
[Score] 518400/1270238 (40.8%) speed=598 samples/s, ETA=1258s
[Score] 520000/1270238 (40.9%) speed=597 samples/s, ETA=1258s
[Score] 521600/1270238 (41.1%) speed=595 samples/s, ETA=1258s
[Score] 523200/1270238 (41.2%) speed=594 samples/s, ETA=1258s
[Score] 524800/1270238 (41.3%) speed=593 samples/s, ETA=1258s
[Score] 526400/1270238 (41.4%) speed=591 samples/s, ETA=1258s
[Score] 528000/1270238 (41.6%) speed=590 samples/s, ETA=1258s
[Score] 529600/1270238 (41.7%) speed=589 samples/s, ETA=1258s
[Score] 531200/1270238 (41.8%) speed=588 samples/s, ETA=1257s
[Score] 532800/1270238 (41.9%) speed=587 samples/s, ETA=1257s
[Score] 534400/1270238 (42.1%) speed=585 samples/s, ETA=1257s
[Score] 536000/1270238 (42.2%) speed=584 samples/s, ETA=1257s
[Score] 537600/1270238 (42.3%) speed=583 samples/s, ETA=1257s
[Score] 539200/1270238 (42.4%) speed=582 samples/s, ETA=1256s
[Score] 540800/1270238 (42.6%) speed=581 samples/s, ETA=1256s
[Score] 542400/1270238 (42.7%) speed=580 samples/s, ETA=1256s
[Score] 544000/1270238 (42.8%) speed=579 samples/s, ETA=1255s
[Score] 545600/1270238 (43.0%) speed=577 samples/s, ETA=1255s
[Score] 547200/1270238 (43.1%) speed=577 samples/s, ETA=1253s
[Score] 548800/1270238 (43.2%) speed=578 samples/s, ETA=1249s
[Score] 550400/1270238 (43.3%) speed=578 samples/s, ETA=1245s
[Score] 552000/1270238 (43.5%) speed=579 samples/s, ETA=1241s
[Score] 553600/1270238 (43.6%) speed=579 samples/s, ETA=1237s
[Score] 555200/1270238 (43.7%) speed=580 samples/s, ETA=1233s
[Score] 556800/1270238 (43.8%) speed=580 samples/s, ETA=1230s
[Score] 558400/1270238 (44.0%) speed=581 samples/s, ETA=1226s
[Score] 560000/1270238 (44.1%) speed=581 samples/s, ETA=1222s
[Score] 561600/1270238 (44.2%) speed=582 samples/s, ETA=1218s
[Score] 563200/1270238 (44.3%) speed=582 samples/s, ETA=1215s
[Score] 564800/1270238 (44.5%) speed=583 samples/s, ETA=1211s
[Score] 566400/1270238 (44.6%) speed=583 samples/s, ETA=1207s
[Score] 568000/1270238 (44.7%) speed=583 samples/s, ETA=1204s
[Score] 569600/1270238 (44.8%) speed=584 samples/s, ETA=1200s
[Score] 571200/1270238 (45.0%) speed=584 samples/s, ETA=1196s
[Score] 572800/1270238 (45.1%) speed=585 samples/s, ETA=1193s
[Score] 574400/1270238 (45.2%) speed=585 samples/s, ETA=1189s
[Score] 576000/1270238 (45.3%) speed=586 samples/s, ETA=1185s
[Score] 577600/1270238 (45.5%) speed=586 samples/s, ETA=1182s
[Score] 579200/1270238 (45.6%) speed=587 samples/s, ETA=1178s
[Score] 580800/1270238 (45.7%) speed=587 samples/s, ETA=1174s
[Score] 582400/1270238 (45.8%) speed=588 samples/s, ETA=1171s
[Score] 584000/1270238 (46.0%) speed=588 samples/s, ETA=1167s
[Score] 585600/1270238 (46.1%) speed=588 samples/s, ETA=1163s
[Score] 587200/1270238 (46.2%) speed=589 samples/s, ETA=1160s
[Score] 588800/1270238 (46.4%) speed=589 samples/s, ETA=1156s
[Score] 590400/1270238 (46.5%) speed=590 samples/s, ETA=1153s
[Score] 592000/1270238 (46.6%) speed=590 samples/s, ETA=1149s
[Score] 593600/1270238 (46.7%) speed=591 samples/s, ETA=1146s
[Score] 595200/1270238 (46.9%) speed=591 samples/s, ETA=1142s
